Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Category Level 1,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Channel,Creative Id,Width,Height,Creative Type,First Seen,Last Seen,Duration,Text,Landing Page,Link To Creative,Link to Post,Format,Placement,Ad Buy Type,Publisher,Spend (USD),Impressions,focus_vs_other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,496497662,586,375,Other,2023-11-19,2025-02-16,0,Qualify for more than just a free breast pump. Helping expecting mamas since 2013.,,,,Other,Feed,Direct,Facebook,110699.23,14850890,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,615262009,360,428,Text,2024-05-29,2024-06-21,0,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med",,https://s3.amazonaws.com/YM_Ads/-4936874042385870022.png,https://www.facebook.com/990789562405178,Other,Feed,Direct,Facebook,91627.06,12234560,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,496497662,586,375,Other,2023-11-19,2025-02-16,0,Qualify for more than just a free breast pump. Helping expecting mamas since 2013.,,,,Other,Other,Direct,Facebook,7041.95,1010323,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,615262009,360,428,Text,2024-05-29,2024-06-21,0,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med",,https://s3.amazonaws.com/YM_Ads/-4936874042385870022.png,https://www.facebook.com/990789562405178,Other,Reels,Direct,Facebook,11360.45,1516910,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,511187772,360,600,Text,2024-01-25,2024-01-30,0,We help mamas qualify for a FREE Breast Pump through insurance!,https://aeroflowbreastpumps.com/qualify-through-insurance-b?utm_source=facebook&utm_medium=cpc&utm_campaign=8049_Facebook_Ads&h=AT0rjtPiSmCzYelcpoTd_3eVjxwpQdgcCYbTkSMBEDR1k7Sa5TWxTPkSzr3PuIErBQHsyQPJ7kP13v65QCNe-pLPDUQlmdh5FavdQCn1CuG25ET3n_LG1UnpqnXY5r-QQBT54A_HPQEYjpX5&s=1,https://s3.amazonaws.com/YM_Ads/-724000755829906966.png,https://www.facebook.com/2808925732574384,Other,Other,Direct,Facebook,14714.0,2111048,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,647598006,430,464,Image,2024-06-26,2025-02-12,0,"See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif! Get Your Insurance-Covered Breast Pump Here: http://bit.ly/2zU4bHP",,https://s3.amazonaws.com/YM_Ads/584991803077025632.png,,Other,Feed,Direct,Facebook,354852.26,47588795,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,593989150,360,841,Video,2024-04-22,2025-02-16,0,"If you aren’t getting your breastpump for free, you are missing out. Click the link in our bio to see if you qualify today! #breastfeeding #motherhood #firsttimemom #AeroflowBreastpumps",https://aeroflowbreastpumps.com/qualify-through-insurance,https://s3.amazonaws.com/YM_Ads/2950350195541081104.png,,Other,Feed,Direct,Facebook,1755.91,234460,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,647598006,430,464,Image,2024-06-26,2025-02-12,0,"See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif! Get Your Insurance-Covered Breast Pump Here: http://bit.ly/2zU4bHP",,https://s3.amazonaws.com/YM_Ads/584991803077025632.png,,Other,Stories,Direct,Facebook,262.29,36296,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,715929301,430,464,Carousel,2025-01-11,2025-02-10,0,"Did you know your health insurance may cover free breast pumps, milk storage bags, AND breastfeeding classes? This National Insurance Awareness day, let Aeroflow help you take advantage of your health insurance benefits. We work with your insurance company and healthcare provider to get you the medical supplies, education, and support you need—all at little to no cost to you! Fill out the eligibility form to see if you qualify: https://rebrand.ly/Check-Your-Eligibility #Breastfeeding #Motherhood #AeroflowBreastpumps #Insurance",,https://s3.amazonaws.com/YM_Ads/-8904675361853256509.png,,Other,Feed,Direct,Facebook,5081.67,703215,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,592233334,360,558,Text,2024-04-22,2024-04-23,0,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,https://aeroflowbreastpumps.com/catalogsearch/result/?q=qualify+through+insurance%26h%3DAT3F4ijYlBnf5YzLtDfZgXLQo8raCXeTJC+6sOrwl0mfzWNjQJ33YMzkkpQcmo7P+Q2X0BXW4bckcTaHIbAX0nwo_sBMW7lwWvIzMSCuYanC_AenYhGTWBloaadevW9ymNHTFfqslfpyvkq9%26s%3D1,https://s3.amazonaws.com/YM_Ads/-3875044388915519196.png,https://www.facebook.com/970169184467216,Other,Feed,Direct,Facebook,1165.06,155566,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,598906740,360,625,Video,2024-05-02,2024-10-19,0,"Get your insurance covered Breast Pump. Qualify online in 3 easy steps. Offering top marketing brands such as; Motif, Medela, Lansinoh, Spectra, Willow, Elvie & more",,https://s3.amazonaws.com/YM_Ads/-1402263553621758690.png,https://www.facebook.com/896242265193242,Other,Feed,Direct,Facebook,305582.9,41460674,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,593477021,360,493,Video,2024-04-23,2024-04-23,0,We help mamas qualify for a FREE Breast Pump through insurance!,,https://s3.amazonaws.com/YM_Ads/-7665011633632252627.png,https://www.facebook.com/1129328971779626,Other,Feed,Direct,Facebook,4135.94,552258,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,598906740,360,625,Video,2024-05-02,2024-10-19,0,"Get your insurance covered Breast Pump. Qualify online in 3 easy steps. Offering top marketing brands such as; Motif, Medela, Lansinoh, Spectra, Willow, Elvie & more",,https://s3.amazonaws.com/YM_Ads/-1402263553621758690.png,https://www.facebook.com/896242265193242,Other,Stories,Direct,Facebook,805.81,108816,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,593477021,360,493,Video,2024-04-23,2024-04-23,0,We help mamas qualify for a FREE Breast Pump through insurance!,,https://s3.amazonaws.com/YM_Ads/-7665011633632252627.png,https://www.facebook.com/1129328971779626,Other,Reels,Direct,Facebook,1477.12,197235,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,961549301,430,625,Video,2023-09-10,2025-07-20,18,"If you have Medicare, your CPAP supplies could be 100% covered! We'll work directly with your insurance to ensure you receive the maximum benefits available.",https://aeroflowsleep.com/sleep-promo/insurance,https://s3.amazonaws.com/YM_Ads/-2807178226938619610.png,https://www.facebook.com/1126741202808474,Other,Feed,Direct,Facebook,8468.99,1131530,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,588411671,360,460,Image,2024-04-15,2024-09-02,0,"Congrats Mama! Get your insurance covered Breast Pump. Qualify online in 3 easy steps. Offering top marketing brands such as; Motif, Medela, Lansinoh, Spectra, Willow, Elvie & more",https://aeroflowbreastpumps.com/qualify-through-insurance,https://s3.amazonaws.com/YM_Ads/1475512015799623140.png,,Other,Feed,Direct,Facebook,21590.18,2969941,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,961549301,430,625,Video,2023-09-10,2025-07-20,18,"If you have Medicare, your CPAP supplies could be 100% covered! We'll work directly with your insurance to ensure you receive the maximum benefits available.",https://aeroflowsleep.com/sleep-promo/insurance,https://s3.amazonaws.com/YM_Ads/-2807178226938619610.png,https://www.facebook.com/1126741202808474,Other,Reels,Direct,Facebook,1706.41,238371,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,511484345,586,375,Other,2024-01-23,2024-01-29,0,"Motif, Spectra, Lansino",,,,Other,Other,Direct,Facebook,7419.06,1064428,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,961549301,430,625,Video,2023-09-10,2025-07-20,18,"If you have Medicare, your CPAP supplies could be 100% covered! We'll work directly with your insurance to ensure you receive the maximum benefits available.",https://aeroflowsleep.com/sleep-promo/insurance,https://s3.amazonaws.com/YM_Ads/-2807178226938619610.png,https://www.facebook.com/1126741202808474,Other,Other,Direct,Facebook,1597.13,229143,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,519391067,586,375,Other,2024-01-26,2024-02-09,0,Med… See more,,,,Other,Other,Direct,Facebook,1623.06,232864,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,523688497,360,544,Text,2024-02-15,2024-03-02,0,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,https://m.facebook.com/AeroflowBreastpumps?fref=nf&__tn__=%7E%7E-R,https://s3.amazonaws.com/YM_Ads/7240733299413396609.png,https://www.facebook.com/24690723120576516,Other,Feed,Direct,Facebook,1760.57,252588,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,670069219,430,659,Video,2024-07-27,2024-10-14,15,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Medela, Lansinoh, Spectra, and Ameda!",https://aeroflowbreastpumps.com/qualify-through-insurance,https://s3.amazonaws.com/YM_Ads/-4358239758105406765.png,,Other,Feed,Direct,Facebook,175999.83,24017103,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,523688497,360,544,Text,2024-02-15,2024-03-02,0,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,https://m.facebook.com/AeroflowBreastpumps?fref=nf&__tn__=%7E%7E-R,https://s3.amazonaws.com/YM_Ads/7240733299413396609.png,https://www.facebook.com/24690723120576516,Other,Other,Direct,Facebook,12573.27,1803913,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,670069219,430,659,Video,2024-07-27,2024-10-14,15,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Medela, Lansinoh, Spectra, and Ameda!",https://aeroflowbreastpumps.com/qualify-through-insurance,https://s3.amazonaws.com/YM_Ads/-4358239758105406765.png,,Other,Reels,Direct,Facebook,34651.75,4758014,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,517263673,360,579,Text,2024-02-04,2024-02-17,0,We help mamas qualify for a FREE Breast Pump through insurance!,https://aeroflowbreastpumps.com/catalogsearch/result/?q=qualify+through+insurance%26h%3DAT1PuAJeYg2bWhqFdkmeuMgV1NaIfQY583b1Evf+3nL1NH_wGX0cjhLaekCOtzoEPimub7S+tw+jVTHPMsDYeYQQ3SywLrTvtJB+i8txsIZsBMMBKKPSl8JYziAlytcynE5z1cgdezisBKHYuX+i6VdSD_Qq96ZX%26s%3D1,https://s3.amazonaws.com/YM_Ads/4282758278041809807.png,https://www.facebook.com/2766881263445498,Other,Other,Direct,Facebook,94345.3,13535911,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,670069219,430,659,Video,2024-07-27,2024-10-14,15,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Medela, Lansinoh, Spectra, and Ameda!",https://aeroflowbreastpumps.com/qualify-through-insurance,https://s3.amazonaws.com/YM_Ads/-4358239758105406765.png,,Other,Stories,Direct,Facebook,816.83,112695,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,639556655,375,586,Other,2024-06-05,2024-06-17,0,Hide ad,,,,Other,Feed,Direct,Facebook,1095.37,146260,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,594140883,360,625,Video,2024-04-24,2024-10-21,0,"If you aren’t getting your breastpump for free, you are missing out. Click the link in our bio to see if you qualify today! #breastfeeding #motherhood #firsttimemom #AeroflowBreastpumps",,https://s3.amazonaws.com/YM_Ads/-1988923961157013903.png,https://www.facebook.com/961371398533205,Other,Feed,Direct,Facebook,26699.33,3589207,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,801309476,430,952,Video,2025-03-28,2025-05-12,10,Congrats mama! Get your FREE breast pump covered through your insurance.,,https://s3.amazonaws.com/YM_Ads/-523185346586046907.png,,Other,Feed,Direct,Facebook,38498.41,5745946,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,594140883,360,625,Video,2024-04-24,2024-10-21,0,"If you aren’t getting your breastpump for free, you are missing out. Click the link in our bio to see if you qualify today! #breastfeeding #motherhood #firsttimemom #AeroflowBreastpumps",,https://s3.amazonaws.com/YM_Ads/-1988923961157013903.png,https://www.facebook.com/961371398533205,Other,Stories,Direct,Facebook,281.37,37571,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,801309476,430,952,Video,2025-03-28,2025-05-12,10,Congrats mama! Get your FREE breast pump covered through your insurance.,,https://s3.amazonaws.com/YM_Ads/-523185346586046907.png,,Other,Reels,Direct,Facebook,8882.3,1320120,focus
