published_date,published_time,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,followers,engagement_rate_by_follower,engagement_rate_lift,estimated_impressions,engagement_rate_by_estimated_impression,post_tag_ugc,post_tag_contests
1/3/2024,12:00:46 p. m.,25/07/2025 11:01,27/02/2024 04:26,Babylist Baby Registry,babylist,🙋🏻‍♀️Raise your hand if you have a soft spot for adorable baby hair bows / headbands 🎀 📷 michellerother_,https://www.instagram.com/reel/C1pYS4BPz8L/,,,,https://d1cdkkfhgor70g.cloudfront.net/C1pYS4BPz8L?postNativeId=18084515986418077,reel,,,33556,33019,537,611504,0.054874538841937257,24.712651273585504,591730,0.056708296,1,0
9/24/2024,11:45:25 a. m.,25/07/2025 11:01,19/11/2024 02:32,Babylist Baby Registry,babylist,Great...now we're both going to have a meltdown 🫠 #moodeng #toddler #parenting,https://www.instagram.com/reel/DATtRcYBucu/,,,,https://d1cdkkfhgor70g.cloudfront.net/DATtRcYBucu?postNativeId=18131716048365304,reel,,,30590,30416,174,654932,0.046707139,20.990821616754843,530732,0.057637376,0,0
4/9/2024,08:18:04 a. m.,25/07/2025 11:01,06/06/2024 19:22,Momcozy,momcozy,"When Mom closes her eyes, baby wakes up😴👶 #Momcozy #BeACozyMom #CozyCare #CozyPowerByMomcozy #parenthood #motherhood #parentinghumor #funnymemes #parentingmemes #parentinglife #momlife #newborn #bedtime",https://www.instagram.com/p/C5izX_YMfN6/,,,,https://d1cdkkfhgor70g.cloudfront.net/C5izX_YMfN6?postNativeId=18008747282150473,photo,,,25442,25351,91,170760,0.1489927383462169,66.77527729138158,433230,0.058726311658934056,0,0
8/26/2024,09:44:42 a. m.,25/07/2025 11:01,19/10/2024 07:13,Medela,medela_us,"We're here for you during each stage of your breastfeeding journey, and part of that journey is the end 💛 From the first latch to the last snuggle, we will always be there to support you, educate you, and cheer you on. We are proud of you mama, and you should be too! Remember, once a Medela Mom, always a Medela Mom 🤰💖 Share your favorite breastfeeding memory in the comments 🤱 🎥 sunkissed.mama #HappyNationalBreastfeedingMonth #WereProudOfYouMama",https://www.instagram.com/reel/C_I3vM9iAgR/,,,,https://d1cdkkfhgor70g.cloudfront.net/C_I3vM9iAgR?postNativeId=17985263504567459,reel,,,25014,22276,2738,156251,0.16008857543311722,71.72902345304766,558416,0.044794562,1,0
5/10/2024,11:43:02 a. m.,25/07/2025 11:01,25/07/2025 10:21,Pumpables,pumpables,Just a set of OO in their eyes. 🤣 🍼 👶🏼 #pumpinghack #pumpables #genieadvanced #portablepump #handsfreepump #wearablecups #breastfeeding #exclusivepumping #exclusivelypumping #pumptips #pumphack #breastpumptips #breastpumphack #secondtrimester #thirdtrimester #flangesizing,https://www.instagram.com/p/C6y_ejcJVGd/,,,,https://d1cdkkfhgor70g.cloudfront.net/C6y_ejcJVGd?postNativeId=17947138010692062,photo,,,22293,22178,115,69183,0.32223234031481723,144.13304719275482,375931,0.059300775940265636,0,0
2/26/2024,12:00:52 p. m.,25/07/2025 11:01,23/04/2024 06:57,Babylist Baby Registry,babylist,Who needs a pacifier when you have a twin sibling? 😂 📹: ryancutshair on TikTok #babiesofig #baby #twins #twinig #twinbaby,https://www.instagram.com/reel/C30bR2Bt0sw/,,,,https://d1cdkkfhgor70g.cloudfront.net/C30bR2Bt0sw?postNativeId=18302922208196417,reel,,,22064,21908,156,621016,0.035528875,15.876239896473052,379431,0.05815023,1,0
2/13/2024,02:17:30 p. m.,25/07/2025 11:01,01/04/2024 23:43,Babylist Baby Registry,babylist,Need a baby shower game? We got you 👏 #baby #babyshower #pregnant #pregnancy #babyshowergames #babyshowertips,https://www.instagram.com/reel/C3TP8GbPWUp/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3TP8GbPWUp?postNativeId=17950098608757548,reel,,,21735,21692,43,619657,0.035075856,15.670364626435205,367229,0.059186502,0,0
5/22/2024,12:12:08 p. m.,25/07/2025 11:01,15/07/2024 21:24,Babylist Baby Registry,babylist,Orange cutting tip for the little ones! Save this for later! 🍊 📸 han_nuhhh #tipsandtricks #momhacks #motherhood #momreels #asmr #foodhacks,https://www.instagram.com/reel/C7R8TkzSHoa/,,,,https://d1cdkkfhgor70g.cloudfront.net/C7R8TkzSHoa?postNativeId=18340860562115449,reel,,,20322,20194,128,631732,0.032168704,14.35764719493237,349094,0.058213547,1,0
7/23/2024,10:10:26 a. m.,25/07/2025 11:01,16/09/2024 21:46,Babylist Baby Registry,babylist,"The summer sun may be hot, but it's also really helpful 😂 Give this newborn stain hack a try!! #babyhack #parenthacks #cleaningtips",https://www.instagram.com/reel/C9xUUngpw2W/,,,,https://d1cdkkfhgor70g.cloudfront.net/C9xUUngpw2W?postNativeId=18002420807406146,reel,,,16057,15444,613,641406,0.025034066,11.141147569775539,308444,0.052058072,0,0
1/7/2024,12:00:37 p. m.,25/07/2025 11:01,05/03/2024 04:05,Babylist Baby Registry,babylist,Dancing fruit ON REPEAT!! 📷 preciadofamily_ #pregnancy #babylist #babiesofig #pregnant,https://www.instagram.com/reel/C1zrfYEPYKp/,,,,https://d1cdkkfhgor70g.cloudfront.net/C1zrfYEPYKp?postNativeId=18068222077462503,reel,,,14961,14792,169,612157,0.024439809,10.86916493052849,267781,0.055870282058846595,1,0
