published_date,published_time,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,shares,followers,engagement_rate_by_follower,engagement_rate_by_view,engagement_rate_lift,views,post_tag_ugc,post_tag_contests,focus_vs_other
11/9/2024,11:15:58 a. m.,25/07/2025 11:04,19/07/2025 00:58,Willow Pump,willowpump,"We love to seeing dads share feeding duties—whether it's bottle feeding, washing pump parts, prepping meals, or helping with nursing support. 📹 via varneyfamily #willow #withwillow #exclusivelypumping #sharedresponsibilities #pumpinglife",https://www.tiktok.com/@willowpump/video/7435329494384201003,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/3001024834949235347,video,,,33307,13740,278,19289,21061,1.581453872085846,0.0242101728228507,348.9982630932717,1375744,1,0,focus
5/30/2024,01:23:38 p. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,Click the link in our bio to apply to our Ambassador Program✨ #momblogger #ambassadorswanted,https://www.tiktok.com/@lansinohusa/video/7374875516928773422,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/2243778296155784737,video,,,10333,9699,224,410,13895,0.7436487945304067,0.001733315,162.73579666635663,5961408,0,0,focus
1/18/2024,10:53:32 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,"Free wearable pump alert! 🚨 Presenting the all-new DiscreetDuo – the FIRST-EVER 100% reimbursable wearable, covered by most insurance companies. Curious to know more? Click the link!💜✨ #wearablepump #lansinoh #lansinohpump #pumpingmom #freepump @rae.renea",https://www.tiktok.com/@lansinohusa/video/7325482341680532782,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/2872350861432845237,video,,,6949,6144,161,644,10700,0.6494392523364486,0.003844069,141.94497869499048,1807720,0,0,focus
2/7/2024,05:19:32 p. m.,25/07/2025 11:04,18/07/2025 21:47,Philips Avent,philipsavent,Easily prepare warmed bottles in minutes day ☀️ or night 🌙 with the Philips Avent Bottle Warmer. #PhilipsAvent #FeedingTime #NighttimeFeeding #BottleWarmer #BabyRegistryMustHaves,https://www.tiktok.com/@philipsavent/video/7333003639797124384,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4834217979363003337,video,,,645,259,13,373,1107,0.5826558265582655,0.0133900768112933,127.05850481817862,48170,0,0,other
7/10/2024,09:13:21 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,Prime Day is coming! 💜 July 16-17! 🗓️ Add these Lansinoh favs to your cart NOW and be ready to snag them before they’re gone! 🛒✨ #amazonprimeday2024 #primeday #primedaydeals #amazonprimeday #amazonprime #primeday2024,https://www.tiktok.com/@lansinohusa/video/7390025425738632479,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/9742368375245200937,video,,,8576,8285,30,261,15301,0.5604862427292334,0.008276083,122.5746780295512,1036239,0,0,focus
1/25/2024,01:51:04 a. m.,25/07/2025 11:04,18/07/2025 21:47,Philips Avent,philipsavent,An amazing #baby shower gift! #Unboxing the #PhilipsAvent Anti-colic Gift Set! 🤩 #BottleFeeding #ParentsofTikTok #BabyRegistryMustHaves,https://www.tiktok.com/@philipsavent/video/7327940295000116512,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/2156110005920497237,video,,,510,308,5,197,1059,0.4815864022662889,0.0162835249042145,105.01336521473232,31320,0,0,other
4/15/2024,08:47:58 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,"Lansinoh DiscreetDuo: THE ultimate pump! Totally hands-free🙌, hospital-strength suction, 2 flange sizes for max comfort! Best part? $0 with insurance! 🌟🎉 Click to see if you qualify today!",https://www.tiktok.com/@lansinohusa/video/7358105580243799339,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/9339973420855018537,video,,,5534,4590,246,698,12883,0.4295583326864861,0.00288372,93.83786647186126,1919049,0,0,focus
3/13/2024,10:34:26 a. m.,25/07/2025 11:04,18/07/2025 21:47,Philips Avent,philipsavent,DYK Philips Avent Soothie pacifiers are designed for baby's natural oral development?🦷 #Soothie #Pacifier #BabyRegistryMustHaves #BabyShowerGiftIdeas,https://www.tiktok.com/@philipsavent/video/7345887254478392609,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/9062938744527885437,video,,,518,242,5,271,1253,0.4134078212290503,0.0123604085138875,90.14677026430996,41908,0,0,other
1/17/2024,10:07:34 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,"Moms, meet your new sidekick.. introducing the DiscreetDuo!💜 It’s the first $0 wearable pump covered by insurance.🎉 Click the link in our bio to learn more✨ @Nikki #lansinoh #lansinohusa #lansinohpump #wearablepump #freepump",https://www.tiktok.com/@lansinohusa/video/7325099538665065771,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1775605668359905237,video,,,4046,3759,91,196,10700,0.3781308411214953,0.002129317,82.55897420710752,1900140,0,0,focus
6/10/2024,09:19:29 a. m.,25/07/2025 11:04,24/07/2025 17:30,myameda,myameda,🌟 Embrace the magic of motherhood with Ameda! ✨ ⁠ ⁠#fyp #breastpumping #lactation #breastpumpingtips #Ameda,https://www.tiktok.com/@myameda/video/7378894513068182827,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/7282818603154988737,video,,,63,49,1,13,178,0.3539325842696629,0.009564293,77.16510560226043,6587,0,0,focus
8/29/2024,01:56:19 p. m.,25/07/2025 11:04,21/04/2025 07:57,Medela,medela_official,"The first FIVE days are crucial in creating a strong milk supply - the initial milk in the hospital, known as colostrum, may appear different, and not what you expected your milk to be like. Colostrum is packed with essential nutrients and antibodies for your baby's health. Starting breastfeeding within the first five days helps establish a robust milk supply that can sustain your baby for months to come 💛 #colostrum #firstfivedays #lactationconsultant #milksupply #colostrumcollection",https://www.tiktok.com/@medela_official/video/7408652639593958686,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/6868593959362568047,video,,,7971,6888,139,944,23211,0.3434147602429882,0.0476594777846205,75.08500471292459,167249,0,0,focus
4/23/2024,10:25:40 a. m.,25/07/2025 11:04,19/07/2025 21:30,Elvie | Women’s Health,elvieofficial,"These ladies are shook by this maternity leave stat, but also not shook at all. Maybe that’s ‘cause we expect to be let down by the system at this point? 🤷 What do you think, mamas? #TheMotherload #Elvie #postpartum #motherhood #advice #voxpop #fyp",https://www.tiktok.com/@elvieofficial/video/7361099485029649707,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/7079469205849901637,video,,,36301,34639,537,1125,114649,0.3166272710621113,0.0126473920611406,69.94007383783457,2870236,0,0,focus
12/13/2024,02:55:39 p. m.,25/07/2025 11:04,21/07/2025 01:52,Babylist,babylist,"""I'm just really happy to be his mom."" 😭 #Yellowjackets actress @sammihanratty shares that her baby will be born with a cleft lip and emphasizes the importance of positive language in that there’s nothing to “fix” because her baby is perfect as he is #baby #babytok #babytiktok #cleftlip #newparent #newparenttok",https://www.tiktok.com/@babylist/video/7448003003921026346,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/6436201293003008447,video,,,415034,409567,1195,4272,1354128,0.3064953977762811,0.095462301,78.51890962415996,4347622,0,0,other
1/29/2024,09:30:48 a. m.,25/07/2025 11:04,24/07/2025 17:33,Zomee,zomee.pump,"Double the pump, half the time! 🤱💨 Experience smarter pumping with the Zomee Z2 – double the efficiency, half the time, and a baby-friendly 2-phase mode for a quicker letdown! 🚀🤱",https://www.tiktok.com/@zomee.pump/video/7329542927133297962,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/2697923317292459237,video,,,618,475,18,125,2274,0.2717678100263852,0.0100285603011813,59.26312545,61624,0,0,other
