ASIN,Product Title,Price,Original Price,Currency,Country,Brand,Star Rating,Number of Ratings,Product URL,Product Photo,Availability,Is Best Seller,Is Amazon Choice,Is Prime,Sales Volume,Product Description,About Product,Date Updated
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, Hospital-Grade Suction, in-Bra Use",279.99,$349.99,USD,US,Visit the eufy Security Store,4.2,1152,https://www.amazon.com/dp/B0CYZLT7M2,https://m.media-amazon.com/images/I/61dowaRodLL._AC_SL1500_.jpg,In Stock,False,False,True,3K+ bought in past month,,"The Innovative Heated Wearable Breast Pump: Groundbreaking HeatFlow technology prevents clogs and boosts your output by 30%¹. Enjoy high-efficiency pumping with spa-like warmth. Note: 1. Based on actual usage feedback from over 300 eufy pump users. | Industry-Leading Wireless Charging Case for Pumping Anywhere: This charging case keeps your pump ready even on the go. With up to five days of power, it ensures hassle-free pumping sessions during business days or weekend getaways. | Smart Pumping, Tailored for You: Select from four presets, use expert-recommended rhythms, or create your own rhythm to enjoy maximum efficiency and comfort (available with free trial). | 30% More Output with Hospital-Grade Suction: Up to 300 mmHg of hospital-grade suction with adjustable intensity and cycle speeds helps maximize your milk flow. Note: All skin-contact parts are made from BPA-free, food-grade materials. For optimal suction, purify all washable parts by boiling or steaming for 5 minutes before first use. Make sure the duckbill valve, flange tunnel, diaphragm, and pump hub are securely sealed. | Ultra-Quiet and Slim for Privacy: Compact, lightweight, and whisper-quiet at 46 dB, this pump is perfect for in-bra use. It's also leakproof with a secure double seal and a reinforced lower half. Note: For suction or heating issues, check the Q&A for quick solutions.",2025-08-19 14:55:45
B0CYZD34VF,"eufy Heated Wearable Breast Pump S1, Hands-Free Breast Pump with Industry-Leading HeatFlow Tech, App-Controlled OptiRhythm, Hospital-Grade Suction, Leakproof, Slim and Ultra-Quiet for in-Bra Use",239.99,,USD,US,Visit the eufy Security Store,4.2,239,https://www.amazon.com/dp/B0CYZD34VF,https://m.media-amazon.com/images/I/61PoE5x4nNL._AC_SL1500_.jpg,In Stock,False,True,True,900+ bought in past month,,"The Innovative Heated Wearable Breast Pump: Groundbreaking HeatFlow technology prevents clogs and boosts your output by 30%¹. Enjoy high-efficiency pumping with spa-like warmth. Note: 1. Based on actual usage feedback from over 300 eufy pump users. | Smart Pumping, Tailored for You: Select from four presets, use expert-recommended rhythms, or create your own rhythm to enjoy maximum efficiency and comfort (available with free trial). | 30% More Output with Hospital-Grade Suction: Up to 300 mmHg of safe, hospital-grade suction and adjustable intensity and cycle speed help maximize your milk flow. | Optimal Comfort for Every Mom: Fitting all nipples with 17 to 24 mm flanges, this pump features a 105° ergonomic design and soft silicone for spa-like comfort. All skin-contact parts are made from BPA-free, food-grade materials, ensuring extra peace of mind. | Ultra-Quiet and Slim for Privacy: Compact, lightweight, and whisper-quiet at 46 dB, this pump is perfect for in-bra use. It's also leakproof with a secure double seal and a reinforced lower half. Note: For suction or heating issues, check the Q&A for quick solutions.",2025-08-19 14:56:55
B0CYZB2YZ1,"eufy Breast Pump Hands Free E10, Wearable Electric Breast Pump with App Control, Personalized Smart Rhythm, Hospital Grade Suction for More Milk, Portable, Leak-Proof & Ultra-Quiet",,,USD,US,Visit the eufy Security Store,4.1,175,https://www.amazon.com/dp/B0CYZB2YZ1,https://m.media-amazon.com/images/I/61xEaTHtM7L._AC_SL1500_.jpg,,False,False,False,,,"Smart Pumping, Tailored for You: Harness the eufy Baby app's smart features and OptiRhythm technology to fine-tune your pumping rhythm, suction strength, and speed for a personalized session. Control your pump remotely for a convenient, hands-free experience. | Optimal Comfort for All Moms: The 105° ergonomic design features soft silicone that molds to the breast, providing a gentle and nurturing experience. | Highly Efficient Output: Helps to achieve maximum milk output with up to 300 mmHg of safe, hospital-grade suction. You can also customize the suction strength and cycle speed to suit your needs. Note: All skin-contact components are made from BPA-free, food-grade materials. | Discreet Pumping for Your Privacy: Compact and lightweight for easy in-bra use, leakproof design with a secure double seal and reinforced lower half. It operates at an ultra-quiet 46dB for discreet pumping. | Ultra Convenience Pumping Experience: Storage bag offers the ultimate portability for on-the-go pumping. With a single charge, the device reliably powers through 4 to 6 sessions of pumping, ensuring mons a seamless and stress-free pumping experience. Save lots of time with only 4 depatchable parts to clean.",2025-08-19 14:58:05
B0CNXFC6J8,"Momcozy Breast Pump Hands Free M5, Wearable Breast Pump of Baby Mouth Double-Sealed Flange with 3 Modes & 9 Levels, Electric Breast Pump Portable - 24mm, 2 Pack Cozy Red",169.99,$199.99,USD,US,Visit the Momcozy Store,4.3,3897,https://www.amazon.com/dp/B0CNXFC6J8,https://m.media-amazon.com/images/I/61O3aspATEL._SL1500_.jpg,In Stock,False,False,True,6K+ bought in past month,,"Light Weights Hidden Pump - Only 230g, 2/3 the size of ordinary pumps. Momcozy M5 hands free breast pump has no eye-salute paid, and no occasion restrictions to pump breast milk anytime, anywhere, even when working, driving, etc. Momcozy M5 is a pumping game changer designed for mum's freedom. | SPA-level Lactation - M5 breast pump the new concept ""Baby Mouth"" is structured like a baby sucking at a horizontal angle, painless lactation produces more milk. With a double-sealed flange and ergonomic breast arc design, more comfortable fit. | Increase Milk Efficiency - M5 has a micro-vibration tech to promote milk comfort secretion during breastfeeding. With 3 Modes (Stimulation + Expression + Mixed) and 9 levels, customize the M5 wearable breast pump so it always starts at your preferred setting for efficient pumping. | Tailored for You- Momcozy breast pump M5 with 4 sizes 17/19/21/24mm, fit for different breast shapes. Made of BPA free food-grade silicone, it's safe for you and your baby. Minimal parts are easier to use and clean, so moms can spend their feeding life worry-free. | Exclusive Mom Fashion Items - M5 has a stylish and compact design with 4 colors to choose from and an exquisite storage handbag so that moms can also show their fashion taste in breastfeeding life, making breastfeeding both beautiful and convenient. M5 becomes a genuine ""Mom Pride Emblem"". Be fashionable, be cozy, and start today!",2025-08-19 14:59:52
B0DM4X6BZ9,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 2 Pack Cozy Red",229.49,$242.99,USD,US,Visit the Momcozy Store,4.3,1132,https://www.amazon.com/dp/B0DM4X6BZ9,https://m.media-amazon.com/images/I/71q+UwvXjCL._AC_SL1500_.jpg,In Stock,False,False,True,2K+ bought in past month,,"Smart Pumping: Control the Upgraded Mobile Flow via the ""Momcozy"" app to start/pause/countdown pumping and switch to different pumping settings. No need to reach into your bra! Record every breastmilk yield to track your pumping history. Know yourself better, Pump on your terms. | Stronger & Quieter: Our 3rd Gen Pump boasts an upgraded pumping efficiency with reduced noise. It supports up to 15 suction levels under every pattern. Enjoy a more comfortable, stronger suction and efficient pumping experience with Momcozy Upgraded Mobile Flow！ | Multi-Modes: Select from 3 regular modes (Stimulation+ Expression+Mixed) on the pump motor. You can also experience the Personalized Modes and 2 Specialist Modes (Milk Relief+Milk Boost) from your phone. Craft your rhythm to suit your comfort and preference. You will always find your optimal mode! | More Fit & Discreet: Mobile Flow breast pump adopts DoubleFit Flange combining soft and hard silicone to ensure better comfort and safety. The drop-shaped design of the M9 breast pump fits seamlessly in the pump bra, allowing moms to pump with total privacy. | For Most Moms: Momcozy Breast Pump Portable Mobile Flow offers 4 sizes (17/19/21/24mm) and an exquisite storage handbag. One charge for One day. Only 4 parts to clean. Spend your breastfeeding life with more ease",2025-08-19 15:01:13
B086T9P41B,Medela Pump in Style Breast Pump Starter Kit | Classic Pump | Double Electric Breastpump with Bottles,120.00,$149.99,USD,US,Visit the Medela Store,3.4,756,https://www.amazon.com/dp/B086T9P41B,https://m.media-amazon.com/images/I/61cAJa1a9+L._AC_SL1500_.jpg,In Stock,False,False,True,100+ bought in past month,"From the #1 breast pump brand used in hospitals*, the award-winning Pump in Style has been the first choice of millions of moms for more than two decades. Designed for moms who pump several times a day, Medela's breast pumps work more like breastfeeding babies to deliver the milk you need to provide for your baby even when you're not there. Medela's NEW Pump in Style MaxFlow Starter Set delivers effective pumping in a modular solution. Offering trusted, research-based performance with 2-Phase Expression Technology in a streamlined format customizable to mom's changing lifestyle. (1) Clinical study, data on file. *Based on Symphony hospital grade breast pump and kit utilization in U.S. hospitals.","Purchase our Hands-free Collection cups and take advantage of 1 pump, 2 ways of pumping. | MAX OUTPUT: Hospital performance that's clinically proven technology to increase milk volume by 11.8% in less time(1) | MAX EASE: Automatic letdown and massage mode cycles and an intuitive control panel | MAX COMFORT: Oval-shaped breast shields that are shaped around you",2025-08-19 15:02:46
B0013O9RX8,Medela Freestyle Breast Pump,,,USD,US,Visit the Medela Store,4.2,857,https://www.amazon.com/dp/B0013O9RX8,https://m.media-amazon.com/images/I/81UgfVP5yUL._SL1500_.jpg,"Currently unavailable.                                  
We don't know when or if this item will be back in stock.",False,False,False,,"Medela Freestyle Hands-Free Breastpump Daily use • double pump • electric -True pumping mobility with hands-free option. -Rechargeable battery and ultra-lightweight motor. (Optional 12 volt vehicle lighter adapter available.) -Easy interaction with digital display, memory, timer and backlight. -More milk in less time with 2-Phase Expression Technology.* -Everything mom needs in a convenient bag - perfect for active moms. -Use hands-free with most top-flap bras including Medela nursing bras and camisoles. -Double pumping kit features two sizes of PersonalFit breastshields for maximum comfort and pumping efficiency. *When pumping at Maximum Comfort Vacuum in the expression phase. Includes: 1 - Freestyle pump 1 - black microfiber tote bag 1 - lithium ion battery 1 - AC adaptor/charger 1 - insulated cooler bag and ice pack 4 - 5 oz/150 mL BPA-free breastmilk bottles and lids 1 - double pumping kit 2 - medium (24 mm) PersonalFit breastshields 2 - large (27 mm) PersonalFit breastshields 2 - Freestyle breastshield connector bodies 1 - set of tubing 2 - membranes 1 - hands-free accessory kit Instructions for use Breastfeeding Information Guide","Double-electric, daily-use breast pump. Two sizes of Personal Fit breast shields for comfort | Rechargeable battery and lightweight motor let you pump on-the-go. When single pumping, check that unused end is correctly stored in the tubing holder | Digital display features a memory button, timer and backlight | Pump made in Switzerland; battery and accessories made in USA, China, Taiwan and Canada; Packaged and Printed in USA | Portable microfiber carry bag designed specifically for your Freestyle breast pump parts",2025-08-19 15:04:02
B07VR26V1Y,"Medela Freestyle Flex Breast Pump, Closed System Quiet Handheld Portable Double Electric Breastpump, Mobile Connected Smart Pump with Touch Screen LED Display and USB Rechargeable Battery",284.46,$299.95,USD,US,Visit the Medela Store,4.3,1545,https://www.amazon.com/dp/B07VR26V1Y,https://m.media-amazon.com/images/I/71pzUzAw4sL._SL1500_.jpg,Only 1 left in stock - order soon.,False,False,True,,"•Designed for daily use for moms who pump several times a day thanks to its patented, research-based 2-Phase Expression Technology•Closed system with overflow protection•All-in-one solution for your on-the-go active lifestyle - fits into your pocket, purse or baby bag for easy access and portability, weighs less than 1 pound•Modern design and an easy-to-use digital display and back lighting•Rechargeble battery, USB charging cable and connectivity to the MyMedela app provides convenient pump operation•Includes 2 sizes of PersonalFit Flex breast shields to promote increased milk flow and more comfort while pumping•Medela is the #1 mom and doctor recommended breast pump brand in the U.S.*DescriptionMedela's Freestyle Flex breast pump is a double electric daily-use pump designed for the on-the-go mom who pumps several times a day. Designed to fit your active lifestyle: its light, compact, and has a USB chargeable battery to give you the flexibility to express wherever and whenever you like with no compromise on pumping performance.Freestyle Flex has the benefit of a closed system. Compatible with PersonalFit Flex connectors only. Using incompatible parts could cause irreversible damage to your breast pump. Weighing less than 1 pound, you can simply slip it in your purse or baby bag and youre ready to get on with your busy day! Like all Medela breast pumps, Freestyle Flex is built with 2-Phase Expression Technology to help moms produce more milk in less time**. This convenient, all-in-one solution gives you everything you need to pump on-the-go including a USB charging cable and a modern touch-screen display that allows mom to easily track and record pumping sessions through our free MyMedela app.Whats Included: 1-breast pump with rechargeable lithium-ion battery; 4-breast shields (2 each 21 mm & 24 mm); 2-connector sets; 4-5 oz/ 150 mL bottles with lids; 2-bottle stands; 1-tubing; 1-carry bag; 1-cooler with cooling element; 1-power ad","DESIGNED FOR MOMS ON THE GO: All in one mobile and portable pumping solution, small enough to take with you anywhere. Designed for your active lifestyle, fits into your pocket, purse or baby bag for easy access and portability | DOUBLE ELECTRIC BREAST PUMP: Designed for daily use for moms who pump several times a day, thanks to its patented, research based 2-Phase Expression Technology which produces more milk in less time* for more efficient expression and maximum flow | RELIABLE CLOSED SYSTEM: Closed system design with Overflow Protection at the kit prevents your breast milk from entering tubing; easy to clean connectors | PORTABLE AND LIGHTWEIGHT: Compact, easy to hold, and weighs less than 1 pound, the Freestyle Flex has a modern design and an easy to use digital display and back lighting, best of all it fits right in the palm of your hand | RECHARGEABLE BATTERY: Rechargeable lithium ion battery, USB charging cable and Bluetooth connectivity to the Medela Family app provides convenient pump operation; battery lasts up to 2 hours, making it easy to be out and about",2025-08-19 15:05:11
B0BNW6Q1CY,"Medela Freestyle Hands-Free Breast Pump | Wearable, Portable and Discreet Double Electric Breast Pump with App Connectivity",176.00,$349.99,USD,US,Visit the Medela Store,4.4,10101,https://www.amazon.com/dp/B0BNW6Q1CY,https://m.media-amazon.com/images/I/71xtLS2ZSXL._SL1500_.jpg,In Stock,False,False,True,2K+ bought in past month,"Pump anytime, anywhere with Medela’s first wearable, hands-free, double electric breast pump. Freestyle Hands-Free includes discreet, anatomically shaped collection cups uniquely designed to maximize milk expression and comfort*. The wearable collection cups are ultra-lightweight** and hold up to 5 oz of breast milk. The feature fewer parts for easy cleaning, are transparent, making it easy to align your nipple and see your milk flowing. Use with the Medela Family app to automatically track your pumping session and access Virtual Milk Storage. Includes: (1) Freestyle Hands-free Breast Pump (motor unit); (2) Hands-free Collection Cups with 24 mm breast shield and O-ring; (2) 21 mm breast shield and O-ring; (1) Complete tubing; (1) power adaptor and USB-C charging cable; (1) instructions for use * Mizuno K, Ueda A. Pediatr Res. 2006; 59(5):728–731. ** Prime DK et al. Breastfeed Med. 2018; 13(7):A-45.","HANDS FREE: Medela Freestyle Hands-Free gives you the flexibility to pump anytime anywhere. | COMFORTABLY LIGHTWEIGHT: Ultralight, wearable collection cups, weighing just 2.7 oz. (76g) each and hold 150ml / 5oz of breastmilk each, are designed to sit discreetly in your bra and mimic the shape of the lactating breast | 2-PHASE EXPRESSION TECHNOLOGY: Freestyle Hands-free mimics baby’s natural sucking rhythm – stimulating milk flow at first followed by a slow expression of milk* | ANATOMICALLY DESIGNED CUPS: Research-based hands-free collection cups are designed to avoid localized compression and maximize milk flow, with a broader lower half to support the underside of the breast and a smooth surface and rim which flares away from the breast** | APP-ENABLED FOR EASY PUMP TRACKING: Connect to the award-winning Medela Family app to plan and track your feeding schedule, and gain exclusive access to virtual milk storage | FEWER PARTS TO CLEAN: Easy to assemble, dishwasher safe, and simple to clean",2025-08-19 15:06:28
B08DBMQSVN,Medela Harmony Manual Breast Pump - Compact Swiss Design Featuring PersonalFit Flex Shields and Medela 2-Phase Expression Technology,,,USD,US,Visit the Medela Store,4.2,5294,https://www.amazon.com/dp/B08DBMQSVN,https://m.media-amazon.com/images/I/51vtI8-Z6wL._AC_SL1500_.jpg,"Currently unavailable.                                  
We don't know when or if this item will be back in stock.",False,False,False,,,,2025-08-19 15:07:49
