asin,product_title,rating,count
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, Hospital-Grade Suction, in-Bra Use",1,10
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, Hospital-Grade Suction, in-Bra Use",2,5
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, Hospital-Grade Suction, in-Bra Use",3,5
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, Hospital-Grade Suction, in-Bra Use",4,9
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, Hospital-Grade Suction, in-Bra Use",5,71
B0CYZB2YZ1,"eufy Breast Pump Hands Free E10, Wearable Electric Breast Pump with App Control, Personalized Smart Rhythm, Hospital Grade Suction for More Milk, Portable, Leak-Proof & Ultra-Quiet",1,9
B0CYZB2YZ1,"eufy Breast Pump Hands Free E10, Wearable Electric Breast Pump with App Control, Personalized Smart Rhythm, Hospital Grade Suction for More Milk, Portable, Leak-Proof & Ultra-Quiet",2,5
B0CYZB2YZ1,"eufy Breast Pump Hands Free E10, Wearable Electric Breast Pump with App Control, Personalized Smart Rhythm, Hospital Grade Suction for More Milk, Portable, Leak-Proof & Ultra-Quiet",3,10
B0CYZB2YZ1,"eufy Breast Pump Hands Free E10, Wearable Electric Breast Pump with App Control, Personalized Smart Rhythm, Hospital Grade Suction for More Milk, Portable, Leak-Proof & Ultra-Quiet",4,15
B0CYZB2YZ1,"eufy Breast Pump Hands Free E10, Wearable Electric Breast Pump with App Control, Personalized Smart Rhythm, Hospital Grade Suction for More Milk, Portable, Leak-Proof & Ultra-Quiet",5,61
B0CNXFC6J8,"Momcozy Breast Pump Hands Free M5, Wearable Breast Pump of Baby Mouth Double-Sealed Flange with 3 Modes & 9 Levels, Electric Breast Pump Portable - 24mm, 2 Pack Cozy Red",1,9
B0CNXFC6J8,"Momcozy Breast Pump Hands Free M5, Wearable Breast Pump of Baby Mouth Double-Sealed Flange with 3 Modes & 9 Levels, Electric Breast Pump Portable - 24mm, 2 Pack Cozy Red",2,4
B0CNXFC6J8,"Momcozy Breast Pump Hands Free M5, Wearable Breast Pump of Baby Mouth Double-Sealed Flange with 3 Modes & 9 Levels, Electric Breast Pump Portable - 24mm, 2 Pack Cozy Red",3,6
B0CNXFC6J8,"Momcozy Breast Pump Hands Free M5, Wearable Breast Pump of Baby Mouth Double-Sealed Flange with 3 Modes & 9 Levels, Electric Breast Pump Portable - 24mm, 2 Pack Cozy Red",4,9
B0CNXFC6J8,"Momcozy Breast Pump Hands Free M5, Wearable Breast Pump of Baby Mouth Double-Sealed Flange with 3 Modes & 9 Levels, Electric Breast Pump Portable - 24mm, 2 Pack Cozy Red",5,72
B0DM4X6BZ9,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 2 Pack Cozy Red",1,9
B0DM4X6BZ9,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 2 Pack Cozy Red",2,3
B0DM4X6BZ9,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 2 Pack Cozy Red",3,8
B0DM4X6BZ9,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 2 Pack Cozy Red",4,7
B0DM4X6BZ9,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 2 Pack Cozy Red",5,73
B086T9P41B,Medela Pump in Style Breast Pump Starter Kit | Classic Pump | Double Electric Breastpump with Bottles,1,25
B086T9P41B,Medela Pump in Style Breast Pump Starter Kit | Classic Pump | Double Electric Breastpump with Bottles,2,7
B086T9P41B,Medela Pump in Style Breast Pump Starter Kit | Classic Pump | Double Electric Breastpump with Bottles,3,8
B086T9P41B,Medela Pump in Style Breast Pump Starter Kit | Classic Pump | Double Electric Breastpump with Bottles,4,10
B086T9P41B,Medela Pump in Style Breast Pump Starter Kit | Classic Pump | Double Electric Breastpump with Bottles,5,50
B0013O9RX8,Medela Freestyle Breast Pump,1,9
B0013O9RX8,Medela Freestyle Breast Pump,2,4
B0013O9RX8,Medela Freestyle Breast Pump,3,8
B0013O9RX8,Medela Freestyle Breast Pump,4,13
B0013O9RX8,Medela Freestyle Breast Pump,5,66
B07VR26V1Y,"Medela Freestyle Flex Breast Pump, Closed System Quiet Handheld Portable Double Electric Breastpump, Mobile Connected Smart Pump with Touch Screen LED Display and USB Rechargeable Battery",1,8
B07VR26V1Y,"Medela Freestyle Flex Breast Pump, Closed System Quiet Handheld Portable Double Electric Breastpump, Mobile Connected Smart Pump with Touch Screen LED Display and USB Rechargeable Battery",2,2
B07VR26V1Y,"Medela Freestyle Flex Breast Pump, Closed System Quiet Handheld Portable Double Electric Breastpump, Mobile Connected Smart Pump with Touch Screen LED Display and USB Rechargeable Battery",3,7
B07VR26V1Y,"Medela Freestyle Flex Breast Pump, Closed System Quiet Handheld Portable Double Electric Breastpump, Mobile Connected Smart Pump with Touch Screen LED Display and USB Rechargeable Battery",4,13
B07VR26V1Y,"Medela Freestyle Flex Breast Pump, Closed System Quiet Handheld Portable Double Electric Breastpump, Mobile Connected Smart Pump with Touch Screen LED Display and USB Rechargeable Battery",5,70
B0BNW6Q1CY,"Medela Freestyle Hands-Free Breast Pump | Wearable, Portable and Discreet Double Electric Breast Pump with App Connectivity",1,9
B0BNW6Q1CY,"Medela Freestyle Hands-Free Breast Pump | Wearable, Portable and Discreet Double Electric Breast Pump with App Connectivity",2,2
B0BNW6Q1CY,"Medela Freestyle Hands-Free Breast Pump | Wearable, Portable and Discreet Double Electric Breast Pump with App Connectivity",3,5
B0BNW6Q1CY,"Medela Freestyle Hands-Free Breast Pump | Wearable, Portable and Discreet Double Electric Breast Pump with App Connectivity",4,8
B0BNW6Q1CY,"Medela Freestyle Hands-Free Breast Pump | Wearable, Portable and Discreet Double Electric Breast Pump with App Connectivity",5,76
