month-year,year,advertiser,brand root,category level 2,category level 3,category level 8,channel,placement,publisher,impressions,spend (usd)
Jul 2024,2024,Medela Inc.,Medela Inc.,Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,835561,6248.14
Jul 2024,2024,Medela Inc.,Medela Inc.,Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,75142,562.75
Jul 2025,2025,Medela Inc.,Medela Inc.,Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,653756,4627.38
Jul 2025,2025,Medela Inc.,Medela Inc.,Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Other,Facebook,37478,265.27
Jul 2024,2024,Medela Inc.,Medela Inc.,Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,827868,6190.59
Jul 2024,2024,Medela Inc.,Medela Inc.,Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,189423,1399.61
Dec 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,41163,331.78
Dec 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,248501,1989.69
Dec 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,41163,331.78
Feb 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,964493,6969.77
Feb 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,201374,1455.19
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,74974,561.5
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,38697,280.48
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,183088,1371.18
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,1405162,10523.55
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,37992,284.53
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,224124,1624.5
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,114002,826.31
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,38822,281.39
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,119059,903.29
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,160825,1226.37
May 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,632091,4733.84
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,109570,820.59
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,74368,539.04
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,149538,1119.92
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,294864,2208.29
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Vacuum Cleaners & Floorcare,Facebook,Feed,Facebook,390743,3025.9
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Vacuum Cleaners & Floorcare,Facebook,Reels,Facebook,42935,332.49
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,224320,1679.98
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,39249,284.48
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,756048,5662.24
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,37826,274.17
Aug 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,1759686,12754.6
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,76466,572.67
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,618750,4493.64
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,194110,1406.95
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,594568,4424.34
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,1028783,7704.75
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,36644,274.43
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,385740,2795.92
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Home Appliances,Facebook,Feed,Facebook,45447,351.94
Feb 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,77555,560.44
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,1118992,8110.69
Sep 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,946575,6860.9
Sep 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,76854,557.05
Jul 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,124443,880.82
Jul 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,37057,262.3
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,2492743,18067.81
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,419172,3139.25
Sep 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Home Appliances,Facebook,Feed,Facebook,77042,558.42
Sep 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Home Appliances,Facebook,Stories,Facebook,38521,279.21
May 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,468470,3164.45
Nov 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,43265,341.88
Nov 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,82084,635.65
Nov 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,242905,1881.05
Mar 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,2718320,19643.62
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Vacuum Cleaners & Floorcare,Facebook,Reels,Facebook,1354853,10491.94
Mar 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,148731,1074.79
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Vacuum Cleaners & Floorcare,Facebook,Feed,Facebook,3034406,23498.28
Mar 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Stories,Facebook,36258,262.02
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Home & Garden Shopping,Vacuum Cleaners & Floorcare,Facebook,Stories,Facebook,40751,315.57
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,1604316,12015.03
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,321608,2331.05
May 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,37374,279.9
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,39249,284.48
Jul 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,697842,5058.1
Feb 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,797120,5760.28
Feb 2025,2025,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,198888,1437.23
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,113511,850.1
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,226940,1699.6
Oct 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Feed,Facebook,2213406,17140.48
Jun 2024,2024,Anker Technology Co. Limited,Eufy,Shopping,Family & Parenting Shopping,Family & Parenting Shopping,Facebook,Reels,Facebook,37534,281.1
