month-year,year,advertiser,brand root,category level 2,category level 3,category level 8,channel,placement,publisher,impressions,spend (usd)
Apr 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,60470584,433654.16000000003
Apr 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Other,Facebook,29535850,205864.86
Apr 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,4854742,34595.32
Apr 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Feed,Instagram,1924173,13224.11
Apr 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Reels,Instagram,298354,2051.7400000000002
Apr 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Stories,Instagram,145303,1001.63
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Feed,Facebook,5121280,38138.6
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Reels,Facebook,150635,1128.15
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Stories,Facebook,38969,291.84
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Feed,Instagram,175612,1209.71
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Reels,Instagram,161253,1131.18
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Stories,Instagram,127519,874.8
Apr 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,TikTok,Feed,TikTok,875020,8702.87
Apr 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,15212704,110533.85
Apr 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Other,Facebook,2991486,20850.66
Apr 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,1409278,10220.52
Apr 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Stories,Facebook,274780,1956.45
Apr 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Feed,Instagram,384768,2659.41
Apr 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,872776,5856.22
Apr 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Feed,Instagram,17259,139.43
Apr 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Stories,Instagram,102798,813.5
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,YouTube,7652,72.34
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Feed,Facebook,124013717,858221.38
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Marketplace,Facebook,8029399,53954.28
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Other,Facebook,2800254,18700.32
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Reels,Facebook,12760109,88270.34
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Stories,Facebook,688164,4690.46
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Feed,Instagram,798273,6094.21
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Reels,Instagram,1505287,11429.12
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Stories,Instagram,1913068,15290.650000000001
Apr 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,YouTube,In-Stream,YouTube,545729,785.39
Apr 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Desktop Display,Other,buzzfeed.com,53202,163.5
Apr 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Desktop Display,Other,espn.com (Disney),23927,145.21
Apr 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Desktop Display,Other,slickdeals.net,4728,23.95
Apr 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Desktop Display,Other,usnews.com,14090,50.82
Apr 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,369633,2508.01
